,Latitude,Longitude,Elevation,s_El_Corr,s_Corr_f,in_sat,DEM,Date,geometry
491791,12.734931999999999,104.352092,-12.755,0.0,0,0,-9.620000000000001,2003-02-20,POINT (104.352092 12.734932)
491883,12.5917,104.33197799999999,-12.742,0.0,0,0,-15.84,2003-02-20,POINT (104.331978 12.5917)
491882,12.593262,104.332197,-12.752,0.0,0,0,-15.84,2003-02-20,POINT (104.332197 12.593262)
491881,12.594824,104.33241699999999,-12.764000000000001,0.0,0,0,-15.84,2003-02-20,POINT (104.332417 12.594824)
491880,12.596383999999999,104.33263799999999,-12.775,0.0,0,0,-15.85,2003-02-20,POINT (104.332638 12.596384)
491879,12.597942,104.332861,-12.761000000000001,0.0,0,0,-15.85,2003-02-20,POINT (104.332861 12.597942)
491878,12.599496,104.333085,-12.754,0.0,0,0,-15.85,2003-02-20,POINT (104.333085 12.599496)
491877,12.601049,104.33331,-12.785,0.0,0,0,-15.85,2003-02-20,POINT (104.33331 12.601049)
491876,12.602602,104.333535,-12.735,0.0,0,0,-15.85,2003-02-20,POINT (104.333535 12.602602)
491875,12.604156,104.333761,-12.689,0.0,0,0,-15.860000000000001,2003-02-20,POINT (104.333761 12.604156)
491874,12.605711,104.333987,-12.769,0.0,0,0,-15.860000000000001,2003-02-20,POINT (104.333987 12.605711)
491873,12.607266,104.334212,-12.771,0.0,0,0,-15.860000000000001,2003-02-20,POINT (104.334212 12.607266)
491872,12.608822,104.33443799999999,-12.735,0.0,0,0,-15.860000000000001,2003-02-20,POINT (104.334438 12.608822)
491871,12.610379,104.334665,-12.76,0.0,0,0,-15.860000000000001,2003-02-20,POINT (104.334665 12.610379)
491870,12.611938,104.334892,-12.812,0.0,0,0,-15.870000000000001,2003-02-20,POINT (104.334892 12.611938)
491869,12.613496999999999,104.335118,-12.754,0.0,0,0,-15.870000000000001,2003-02-20,POINT (104.335118 12.613497)
491868,12.615055,104.335342,-12.745000000000001,0.0,0,0,-15.870000000000001,2003-02-20,POINT (104.335342 12.615055)
491867,12.616612,104.335563,-12.783,0.0,0,0,-15.870000000000001,2003-02-20,POINT (104.335563 12.616612)
491853,12.638399999999999,104.338545,-12.784,0.0,0,0,-15.9,2003-02-20,POINT (104.338545 12.6384)
491854,12.636835999999999,104.33833399999999,-12.682,0.0,0,0,-15.9,2003-02-20,POINT (104.338334 12.636836)
491855,12.635273,104.338124,-12.777000000000001,0.0,0,0,-15.9,2003-02-20,POINT (104.338124 12.635273)
491856,12.633713,104.337914,-12.718,0.0,0,0,-15.89,2003-02-20,POINT (104.337914 12.633713)
491857,12.632156,104.33770299999999,-12.724,0.0,0,0,-15.89,2003-02-20,POINT (104.337703 12.632156)
491858,12.6306,104.337492,-12.767,0.0,0,0,-15.89,2003-02-20,POINT (104.337492 12.6306)
491884,12.590138,104.331761,-12.717,0.0,0,0,-15.84,2003-02-20,POINT (104.331761 12.590138)
491859,12.629045,104.33728099999999,-12.785,0.0,0,0,-15.89,2003-02-20,POINT (104.337281 12.629045)
491861,12.625936,104.336856,-12.764000000000001,0.0,0,0,-15.88,2003-02-20,POINT (104.336856 12.625936)
491862,12.624381999999999,104.336642,-12.747,0.0,0,0,-15.88,2003-02-20,POINT (104.336642 12.624382)
491863,12.622828,104.336427,-12.75,0.0,0,0,-15.88,2003-02-20,POINT (104.336427 12.622828)
491864,12.621274,104.33621199999999,-12.694,0.0,0,0,-15.88,2003-02-20,POINT (104.336212 12.621274)
