,Av_level,Date
0,-12.743772058823529,2003-02-20
1,-13.198814159292036,2003-02-28
2,-13.263375939849624,2003-03-08
3,-13.547839694656489,2003-03-16
4,-14.059875,2003-03-24
5,-7.672604166666667,2003-10-02
6,-6.626714285714286,2003-10-25
7,-7.814254716981132,2003-11-04
8,-12.947000000000001,2004-02-26
9,-13.626278350515465,2004-03-07
10,-13.313578947368422,2004-05-27
11,-5.625111111111111,2004-10-13
12,-6.7408133333333335,2004-10-23
13,-10.271197718631178,2004-11-07
14,-12.97925,2005-02-27
15,-13.449463768115942,2005-03-10
16,-13.454,2005-05-29
17,-10.262666666666666,2005-10-23
18,-7.0295625,2005-11-09
19,-12.38775,2006-03-03
20,-14.180875,2006-06-02
21,-13.836446153846154,2006-06-12
22,-5.790333333333333,2006-11-03
23,-6.93388524590164,2006-11-13
24,-12.866176470588236,2007-03-20
25,-13.824941176470588,2007-03-31
26,-16.905428571428573,2008-02-19
27,-12.260266666666666,2008-02-26
28,-6.119818181818182,2008-10-13
29,-7.920305882352942,2008-12-03
30,-5.628428571428572,2009-10-09
