"","Date2","Av_level","Area"
"1","9/1/2018",NA,3370.644055
"2","9/2/2018",NA,NA
"3","9/3/2018",NA,NA
"4","9/4/2018",NA,NA
"5","9/5/2018",NA,NA
"6","9/6/2018",NA,NA
"7","9/7/2018",NA,NA
"8","9/8/2018",NA,NA
"9","9/9/2018",NA,NA
"10","9/10/2018",NA,NA
"11","9/11/2018",NA,NA
"12","9/12/2018",NA,NA
"13","9/13/2018",NA,NA
"14","9/14/2018",NA,NA
"15","9/15/2018",NA,NA
"16","9/16/2018",NA,NA
"17","9/17/2018",NA,NA
"18","9/18/2018",NA,NA
"19","9/19/2018",NA,NA
"20","9/20/2018",NA,NA
"21","9/21/2018",NA,NA
"22","9/22/2018",NA,NA
"23","9/23/2018",NA,NA
"24","9/24/2018",NA,NA
"25","9/25/2018",NA,NA
"26","9/26/2018",NA,NA
"27","9/27/2018",NA,NA
"28","9/28/2018",NA,NA
"29","9/29/2018",NA,NA
"30","9/30/2018",NA,NA
"31","10/1/2018",NA,3703.477608
"32","10/2/2018",NA,NA
"33","10/3/2018",NA,NA
"34","10/4/2018",NA,NA
"35","10/5/2018",NA,NA
"36","10/6/2018",NA,NA
"37","10/7/2018",NA,NA
"38","10/8/2018",NA,NA
"39","10/9/2018",NA,NA
"40","10/10/2018",NA,NA
"41","10/11/2018",NA,NA
"42","10/12/2018",NA,NA
"43","10/13/2018",NA,NA
"44","10/14/2018",NA,NA
"45","10/15/2018",NA,NA
"46","10/16/2018",NA,NA
"47","10/17/2018",NA,NA
"48","10/18/2018",NA,NA
"49","10/19/2018",NA,NA
"50","10/20/2018",NA,NA
"51","10/21/2018",NA,NA
"52","10/22/2018",NA,NA
"53","10/23/2018",NA,NA
"54","10/24/2018",NA,NA
"55","10/25/2018",NA,NA
"56","10/26/2018",NA,NA
"57","10/27/2018",NA,NA
"58","10/28/2018",-8.174512979,NA
"59","10/29/2018",NA,NA
"60","10/30/2018",NA,NA
"61","10/31/2018",NA,NA
"62","11/1/2018",-12.12764104,2012.177456
"63","11/2/2018",-10.92929144,NA
"64","11/3/2018",NA,NA
"65","11/4/2018",NA,NA
"66","11/5/2018",NA,NA
"67","11/6/2018",NA,NA
"68","11/7/2018",NA,NA
"69","11/8/2018",NA,NA
"70","11/9/2018",NA,NA
"71","11/10/2018",NA,NA
"72","11/11/2018",NA,NA
"73","11/12/2018",NA,NA
"74","11/13/2018",NA,NA
"75","11/14/2018",NA,NA
"76","11/15/2018",NA,NA
"77","11/16/2018",NA,NA
"78","11/17/2018",NA,NA
"79","11/18/2018",NA,NA
"80","11/19/2018",NA,NA
"81","11/20/2018",NA,NA
"82","11/21/2018",NA,NA
"83","11/22/2018",NA,NA
"84","11/23/2018",NA,NA
"85","11/24/2018",NA,NA
"86","11/25/2018",NA,NA
"87","11/26/2018",NA,NA
"88","11/27/2018",NA,NA
"89","11/28/2018",NA,NA
"90","11/29/2018",NA,NA
"91","11/30/2018",-12.5373859,NA
"92","12/1/2018",-10.97664516,1836.499641
"93","12/2/2018",NA,NA
"94","12/3/2018",NA,NA
"95","12/4/2018",NA,NA
"96","12/5/2018",NA,NA
"97","12/6/2018",NA,NA
"98","12/7/2018",NA,NA
"99","12/8/2018",NA,NA
"100","12/9/2018",NA,NA
"101","12/10/2018",NA,NA
"102","12/11/2018",NA,NA
"103","12/12/2018",NA,NA
"104","12/13/2018",NA,NA
"105","12/14/2018",NA,NA
"106","12/15/2018",NA,NA
"107","12/16/2018",NA,NA
"108","12/17/2018",NA,NA
"109","12/18/2018",NA,NA
"110","12/19/2018",NA,NA
"111","12/20/2018",NA,NA
"112","12/21/2018",NA,NA
"113","12/22/2018",NA,NA
"114","12/23/2018",NA,NA
"115","12/24/2018",NA,NA
"116","12/25/2018",NA,NA
"117","12/26/2018",NA,NA
"118","12/27/2018",NA,NA
"119","12/28/2018",NA,NA
"120","12/29/2018",NA,NA
"121","12/30/2018",-11.73771212,NA
"122","12/31/2018",NA,NA
"123","1/1/2019",NA,2288.920053
"124","1/2/2019",NA,NA
"125","1/3/2019",-15.83581049,NA
"126","1/4/2019",NA,NA
"127","1/5/2019",NA,NA
"128","1/6/2019",NA,NA
"129","1/7/2019",NA,NA
"130","1/8/2019",NA,NA
"131","1/9/2019",NA,NA
