,Date2,Av_level,Area
1,9/1/2018,,3370.644055
2,9/2/2018,,
3,9/3/2018,,
4,9/4/2018,,
5,9/5/2018,,
6,9/6/2018,,
7,9/7/2018,,
8,9/8/2018,,
9,9/9/2018,,
10,9/10/2018,,
11,9/11/2018,,
12,9/12/2018,,
13,9/13/2018,,
14,9/14/2018,,
15,9/15/2018,,
16,9/16/2018,,
17,9/17/2018,,
18,9/18/2018,,
19,9/19/2018,,
20,9/20/2018,,
21,9/21/2018,,
22,9/22/2018,,
23,9/23/2018,,
24,9/24/2018,,
25,9/25/2018,,
26,9/26/2018,,
27,9/27/2018,,
28,9/28/2018,,
29,9/29/2018,,
30,9/30/2018,,
31,10/1/2018,,3703.477608
32,10/2/2018,,
33,10/3/2018,,
34,10/4/2018,,
35,10/5/2018,,
36,10/6/2018,,
37,10/7/2018,,
38,10/8/2018,,
39,10/9/2018,,
40,10/10/2018,,
41,10/11/2018,,
42,10/12/2018,,
43,10/13/2018,,
44,10/14/2018,,
45,10/15/2018,,
46,10/16/2018,,
47,10/17/2018,,
48,10/18/2018,,
49,10/19/2018,,
50,10/20/2018,,
51,10/21/2018,,
52,10/22/2018,,
53,10/23/2018,,
54,10/24/2018,,
55,10/25/2018,,
56,10/26/2018,,
57,10/27/2018,,
58,10/28/2018,-8.174512979,
59,10/29/2018,,
60,10/30/2018,,
61,10/31/2018,,
62,11/1/2018,-12.12764104,2012.177456
63,11/2/2018,-10.92929144,
64,11/3/2018,,
65,11/4/2018,,
66,11/5/2018,,
67,11/6/2018,,
68,11/7/2018,,
69,11/8/2018,,
70,11/9/2018,,
71,11/10/2018,,
72,11/11/2018,,
73,11/12/2018,,
74,11/13/2018,,
75,11/14/2018,,
76,11/15/2018,,
77,11/16/2018,,
78,11/17/2018,,
79,11/18/2018,,
80,11/19/2018,,
81,11/20/2018,,
82,11/21/2018,,
83,11/22/2018,,
84,11/23/2018,,
85,11/24/2018,,
86,11/25/2018,,
87,11/26/2018,,
88,11/27/2018,,
89,11/28/2018,,
90,11/29/2018,,
91,11/30/2018,-12.5373859,
92,12/1/2018,-10.97664516,1836.499641
93,12/2/2018,,
94,12/3/2018,,
95,12/4/2018,,
96,12/5/2018,,
97,12/6/2018,,
98,12/7/2018,,
99,12/8/2018,,
100,12/9/2018,,
101,12/10/2018,,
102,12/11/2018,,
103,12/12/2018,,
104,12/13/2018,,
105,12/14/2018,,
106,12/15/2018,,
107,12/16/2018,,
108,12/17/2018,,
109,12/18/2018,,
110,12/19/2018,,
111,12/20/2018,,
112,12/21/2018,,
113,12/22/2018,,
114,12/23/2018,,
115,12/24/2018,,
116,12/25/2018,,
117,12/26/2018,,
118,12/27/2018,,
119,12/28/2018,,
120,12/29/2018,,
121,12/30/2018,-11.73771212,
122,12/31/2018,,
123,1/1/2019,,2288.920053
124,1/2/2019,,
125,1/3/2019,-15.83581049,
126,1/4/2019,,
127,1/5/2019,,
128,1/6/2019,,
129,1/7/2019,,
130,1/8/2019,,
131,1/9/2019,,
132,1/10/2019,,
133,1/11/2019,,
134,1/12/2019,,
135,1/13/2019,,
136,1/14/2019,,
137,1/15/2019,,
138,1/16/2019,,
139,1/17/2019,,
140,1/18/2019,,
141,1/19/2019,,
142,1/20/2019,,
143,1/21/2019,,
144,1/22/2019,,
145,1/23/2019,,
146,1/24/2019,,
147,1/25/2019,,
148,1/26/2019,,
149,1/27/2019,-13.10295056,
150,1/28/2019,,
151,1/29/2019,,
152,1/30/2019,,
153,1/31/2019,-16.82070226,
154,2/1/2019,-16.06175985,2287.976726
155,2/2/2019,,
156,2/3/2019,,
157,2/4/2019,,
158,2/5/2019,,
159,2/6/2019,,
160,2/7/2019,,
161,2/8/2019,,
162,2/9/2019,,
163,2/10/2019,,
164,2/11/2019,,
165,2/12/2019,,
166,2/13/2019,,
167,2/14/2019,,
168,2/15/2019,,
169,2/16/2019,,
170,2/17/2019,,
171,2/18/2019,,
172,2/19/2019,,
173,2/20/2019,,
174,2/21/2019,,
175,2/22/2019,,
176,2/23/2019,,
177,2/24/2019,,
178,2/25/2019,,
179,2/26/2019,,
180,2/27/2019,,
181,2/28/2019,,
182,3/1/2019,-15.98333842,2124.563827
183,3/2/2019,,
184,3/3/2019,,
185,3/4/2019,,
186,3/5/2019,,
187,3/6/2019,,
188,3/7/2019,,
189,3/8/2019,,
190,3/9/2019,,
191,3/10/2019,,
192,3/11/2019,,
193,3/12/2019,,
194,3/13/2019,,
195,3/14/2019,,
196,3/15/2019,,
197,3/16/2019,,
198,3/17/2019,,
199,3/18/2019,,
200,3/19/2019,,
201,3/20/2019,,
202,3/21/2019,,
203,3/22/2019,,
204,3/23/2019,,
205,3/24/2019,,
206,3/25/2019,,
207,3/26/2019,,
208,3/27/2019,,
209,3/28/2019,,
210,3/29/2019,,
211,3/30/2019,-14.35610949,
212,3/31/2019,,
213,4/1/2019,,2214.760226
214,4/2/2019,,
215,4/3/2019,-17.76789975,
216,4/4/2019,,
217,4/5/2019,,
218,4/6/2019,,
219,4/7/2019,,
220,4/8/2019,,
221,4/9/2019,,
222,4/10/2019,,
223,4/11/2019,,
224,4/12/2019,,
225,4/13/2019,,
226,4/14/2019,,
227,4/15/2019,,
228,4/16/2019,,
229,4/17/2019,,
230,4/18/2019,,
231,4/19/2019,,
232,4/20/2019,,
233,4/21/2019,,
234,4/22/2019,,
235,4/23/2019,,
236,4/24/2019,,
237,4/25/2019,,
238,4/26/2019,,
239,4/27/2019,,
240,4/28/2019,,
241,4/29/2019,,
242,4/30/2019,,
243,5/1/2019,,2559.180276
244,5/2/2019,-17.86243088,
245,5/3/2019,,
246,5/4/2019,,
247,5/5/2019,,
248,5/6/2019,,
249,5/7/2019,,
250,5/8/2019,,
251,5/9/2019,,
252,5/10/2019,,
253,5/11/2019,,
254,5/12/2019,,
255,5/13/2019,,
256,5/14/2019,,
257,5/15/2019,,
258,5/16/2019,,
259,5/17/2019,,
260,5/18/2019,,
261,5/19/2019,,
262,5/20/2019,,
263,5/21/2019,,
264,5/22/2019,,
265,5/23/2019,,
266,5/24/2019,,
267,5/25/2019,,
268,5/26/2019,,
269,5/27/2019,,
270,5/28/2019,,
271,5/29/2019,,
272,5/30/2019,,
273,5/31/2019,-16.01653929,
274,6/1/2019,,2575.179994
275,6/2/2019,,
276,6/3/2019,,
277,6/4/2019,,
278,6/5/2019,,
279,6/6/2019,,
280,6/7/2019,,
281,6/8/2019,,
282,6/9/2019,,
283,6/10/2019,,
284,6/11/2019,,
285,6/12/2019,,
286,6/13/2019,,
287,6/14/2019,,
288,6/15/2019,,
289,6/16/2019,,
290,6/17/2019,,
291,6/18/2019,,
292,6/19/2019,,
293,6/20/2019,,
294,6/21/2019,,
295,6/22/2019,,
296,6/23/2019,,
297,6/24/2019,,
298,6/25/2019,,
299,6/26/2019,,
300,6/27/2019,,
301,6/28/2019,,
302,6/29/2019,,
303,6/30/2019,,
304,7/1/2019,,2294.466438
305,7/2/2019,,
306,7/3/2019,,
307,7/4/2019,,
308,7/5/2019,,
309,7/6/2019,,
310,7/7/2019,,
311,7/8/2019,,
312,7/9/2019,,
313,7/10/2019,,
314,7/11/2019,,
315,7/12/2019,,
316,7/13/2019,,
317,7/14/2019,,
318,7/15/2019,,
319,7/16/2019,,
320,7/17/2019,,
321,7/18/2019,,
322,7/19/2019,,
323,7/20/2019,,
324,7/21/2019,,
325,7/22/2019,,
326,7/23/2019,,
327,7/24/2019,,
328,7/25/2019,,
329,7/26/2019,,
330,7/27/2019,,
331,7/28/2019,-14.21914668,
332,7/29/2019,,
333,7/30/2019,,
334,7/31/2019,,
335,8/1/2019,-18.18097518,
336,8/2/2019,,
337,8/3/2019,,
338,8/4/2019,,
339,8/5/2019,,
340,8/6/2019,,
341,8/7/2019,,
342,8/8/2019,,
343,8/9/2019,,
344,8/10/2019,,
345,8/11/2019,,
346,8/12/2019,,
347,8/13/2019,,
348,8/14/2019,,
349,8/15/2019,,
350,8/16/2019,,
351,8/17/2019,,
352,8/18/2019,,
353,8/19/2019,,
354,8/20/2019,,
355,8/21/2019,,
356,8/22/2019,,
357,8/23/2019,,
358,8/24/2019,,
359,8/25/2019,,
360,8/26/2019,,
361,8/27/2019,,
362,8/28/2019,,
363,8/29/2019,-15.61858622,
364,8/30/2019,-14.75624217,
365,8/31/2019,,
366,9/1/2019,,3291.718026
367,9/2/2019,,
368,9/3/2019,,
369,9/4/2019,,
370,9/5/2019,,
371,9/6/2019,,
372,9/7/2019,,
373,9/8/2019,,
